                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.7788,                  1.647,                 1.4134,                0.70972,                0.51062,                0.54932,                0.28257,                  1.749,                  1.566,                   1.35,             0.00033008,             0.00033008,             0.00033008
                     74,                 1.7533,                  1.642,                 1.4156,                0.49248,                0.46785,                0.43471,                0.22823,                 1.7467,                 1.5764,                 1.3695,             0.00031908,             0.00031908,             0.00031908
                     75,                 1.7658,                 1.6484,                  1.396,                0.49251,                0.55942,                0.47852,                0.24801,                 1.7367,                 1.5237,                 1.3539,             0.00030808,             0.00030808,             0.00030808
                     76,                 1.7624,                 1.6187,                 1.3923,                 0.4263,                0.50158,                0.41322,                0.21375,                 1.8062,                 1.6891,                 1.3919,             0.00029708,             0.00029708,             0.00029708
                     77,                 1.7661,                 1.6645,                 1.4097,                0.41082,                0.48742,                0.45443,                0.24067,                 1.7418,                  1.595,                 1.3682,             0.00028608,             0.00028608,             0.00028608
                     78,                 1.7898,                 1.6406,                 1.4098,                0.56363,                0.48365,                0.48845,                0.25803,                 1.7304,                 1.5124,                 1.3402,             0.00027508,             0.00027508,             0.00027508
                     79,                 1.8194,                 1.6452,                 1.4327,                0.43068,                0.50676,                0.43178,                0.22622,                 1.7714,                 1.6246,                  1.378,             0.00026408,             0.00026408,             0.00026408
                     80,                 1.7554,                 1.5993,                 1.4023,                0.57855,                0.51803,                0.50722,                0.26816,                 1.6876,                 1.4973,                 1.3403,             0.00025309,             0.00025309,             0.00025309
                     81,                 1.7649,                 1.5898,                 1.3986,                0.51961,                0.53286,                0.48737,                0.25525,                 1.7441,                  1.586,                 1.3645,             0.00024209,             0.00024209,             0.00024209
                     82,                 1.7649,                 1.5684,                 1.3923,                0.46112,                0.52335,                0.45552,                0.23356,                 1.7555,                 1.5462,                 1.3518,             0.00023109,             0.00023109,             0.00023109
                     83,                 1.7485,                 1.5853,                 1.3818,                0.49337,                0.50144,                0.47115,                0.25646,                 1.7078,                 1.5277,                 1.3338,             0.00022009,             0.00022009,             0.00022009
                     84,                 1.7347,                 1.5646,                 1.3769,                0.50573,                0.53644,                 0.4773,                0.24607,                 1.7147,                 1.5427,                 1.3403,             0.00020909,             0.00020909,             0.00020909
                     85,                 1.7474,                  1.543,                 1.3856,                 0.5969,                0.45246,                0.48581,                0.26325,                 1.7088,                 1.5151,                 1.3386,             0.00019809,             0.00019809,             0.00019809
                     86,                 1.7234,                 1.5499,                 1.4013,                0.46957,                0.49409,                0.46007,                0.23923,                 1.7223,                 1.6006,                  1.359,             0.00018709,             0.00018709,             0.00018709
                     87,                 1.7111,                 1.5274,                 1.3609,                0.51024,                 0.5173,                0.48889,                0.26159,                  1.728,                 1.5356,                 1.3458,             0.00017609,             0.00017609,             0.00017609
                     88,                 1.7121,                 1.5389,                 1.3916,                0.50704,                0.48058,                0.47599,                0.25813,                 1.7712,                 1.5911,                 1.3781,             0.00016509,             0.00016509,             0.00016509
                     89,                 1.7218,                 1.5346,                 1.3596,                0.48504,                0.46182,                0.46604,                 0.2393,                 1.7707,                 1.6112,                 1.3712,              0.0001541,              0.0001541,              0.0001541
                     90,                 1.7351,                 1.5332,                 1.3822,                0.52863,                0.50673,                 0.4783,                0.24159,                 1.7591,                 1.5848,                  1.362,              0.0001431,              0.0001431,              0.0001431
                     91,                 1.6977,                 1.5507,                 1.3803,                0.56292,                0.51805,                0.52371,                0.27166,                 1.7459,                 1.5427,                 1.3675,              0.0001321,              0.0001321,              0.0001321
                     92,                 1.6702,                 1.5141,                 1.3634,                0.55723,                 0.5644,                0.51102,                0.25608,                  1.765,                 1.5825,                 1.3695,              0.0001211,              0.0001211,              0.0001211
                     93,                 1.6652,                  1.497,                 1.3748,                0.51239,                0.53292,                0.49135,                0.25788,                 1.7366,                 1.5571,                 1.3551,              0.0001101,              0.0001101,              0.0001101
                     94,                 1.6603,                 1.4808,                 1.3722,                 0.5204,                0.55892,                0.50276,                0.27475,                 1.7282,                 1.5621,                 1.3467,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                 1.6634,                 1.4811,                 1.3625,                0.48435,                0.55246,                0.48824,                0.24917,                 1.7369,                 1.6043,                  1.354,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                 1.6523,                 1.4785,                 1.3602,                0.53395,                0.48884,                0.47551,                0.25757,                 1.7414,                 1.5481,                 1.3575,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                 1.6325,                 1.4537,                 1.3482,                0.57201,                0.50701,                0.50807,                0.27868,                 1.7181,                 1.5502,                 1.3456,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                 1.6471,                 1.4582,                 1.3571,                0.57771,                0.54966,                0.50141,                0.26488,                 1.7288,                  1.585,                 1.3511,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                 1.6399,                 1.4599,                 1.3635,                0.50561,                0.51197,                0.47599,                 0.2563,                  1.731,                 1.6256,                 1.3589,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                 1.6321,                 1.4234,                  1.341,                0.51555,                0.53835,                0.47726,                0.25354,                  1.741,                 1.6296,                 1.3557,             3.3108e-05,             3.3108e-05,             3.3108e-05
